1,0.86,0.03,0.08,0.903,0.725,0.574,-0.1,-0.203,-0.031,-0.124137931,0.33,0.225,0.813
1,1,0.07,0.08,0.813,0.749,0.569,-0.081,-0.125,-0.042,-0.124137931,1,0.475,0.83
1,0.14,0.1,0.08,0.83,0.789,0.587,-0.217,-0.278,-0.144,-0.108034483,1,0.8,0.868
0,0.29,0.13,0.08,0.868,0.859,0.618,-0.208,-0.319,-0.125,-0.2,0.96,0.575,0.942
0,0.43,0.16,0.08,0.942,0.854,0.635,-0.053,-0.139,0.011,-0.231275862,0.84,0.262,0.934
1,0.57,0.19,0.08,0.934,0.825,0.611,0.067,0.006,0.139,-0.145724138,0.92,0.4,0.915
1,0.71,0.23,0.08,0.915,0.737,0.574,0.011,-0.025,0.028,-0.028137931,0.85,0.525,0.82
0,0.86,0.26,0.08,0.82,0.767,0.568,0.061,-0.042,0.158,-0.005344828,0.5,0.275,0.841
0,1,0.29,0.08,0.841,0.724,0.568,0.228,0.083,0.306,0.040827586,0.9,0.35,0.814
0,0.14,0.32,0.08,0.814,0.723,0.536,0.3,0.253,0.347,0.170517241,0.82,0.312,0.799
0,0.29,0.36,0.08,0.799,0.742,0.534,0.419,0.283,0.517,0.278517241,0.64,0.475,0.814
0,0.43,0.39,0.08,0.814,0.746,0.519,0.267,0.178,0.483,0.406689655,0.6,0.35,0.807
0,0.57,0.42,0.08,0.807,0.784,0.543,0.164,0.1,0.289,0.373965517,0.43,0.225,0.838
0,0.71,0.45,0.08,0.838,0.764,0.568,0.169,0.061,0.278,0.290758621,0.32,0.35,0.83
0,0.86,0.48,0.08,0.83,0.778,0.55,0.139,0.056,0.222,0.24937931,0.92,0.3,0.854
0,1,0.52,0.08,0.854,0.771,0.563,0.042,0.006,0.089,0.207689655,0.94,0.25,0.846
0,0.14,0.55,0.08,0.846,0.787,0.568,-0.064,-0.1,0.006,0.122137931,1,0.45,0.859
1,0.29,0.58,0.08,0.859,0.847,0.611,-0.081,-0.128,-0.036,0.014793103,0.8,0.438,0.931
1,0.43,0.61,0.08,0.931,0.846,0.641,-0.089,-0.167,0.003,-0.047482759,0.19,0.262,0.933
1,0.57,0.65,0.08,0.933,0.816,0.644,-0.078,-0.222,0.133,-0.084103448,0.1,0.162,0.926
0,0.71,0.68,0.08,0.926,0.834,0.637,-0.019,-0.083,0.075,-0.094655172,0.58,0.212,0.939
0,0.86,0.71,0.08,0.939,0.846,0.642,-0.094,-0.164,0.014,-0.06062069,0.07,0.2,0.937
0,1,0.74,0.08,0.937,0.823,0.646,-0.094,-0.192,0.014,-0.089551724,0.26,0.138,0.926
0,0.14,0.77,0.08,0.926,0.807,0.623,-0.05,-0.111,-0.025,-0.103655172,0.93,0.175,0.905
0,0.29,0.81,0.08,0.905,0.831,0.618,0.061,-0.042,0.181,-0.082103448,0.89,0.2,0.921
0,0.43,0.84,0.08,0.921,0.816,0.613,0.122,0.064,0.186,-0.000344828,0.97,0.2,0.911
0,0.57,0.87,0.08,0.911,0.775,0.589,0.222,0.106,0.453,0.078517241,0.2,0.15,0.861
0,0.71,0.9,0.08,0.861,0.771,0.572,0.275,0.15,0.467,0.183551724,0.3,0.175,0.847
0,0.86,0.94,0.08,0.847,0.756,0.556,0.247,0.156,0.353,0.269862069,0.56,0.162,0.831
0,1,0.97,0.08,0.831,0.73,0.54,0.25,0.089,0.389,0.294310345,0.44,0.288,0.8
0,0.14,1,0.08,0.8,0.704,0.521,0.272,0.15,0.381,0.306103448,0.92,0.4,0.773
0,0.29,0.03,0.17,0.773,0.736,0.516,0.25,0.136,0.397,0.325034483,0.6,0.25,0.8
0,0.43,0.07,0.17,0.8,0.725,0.517,0.339,0.222,0.469,0.318241379,0.49,0.225,0.779
0,0.57,0.1,0.17,0.779,0.721,0.51,0.344,0.239,0.456,0.370758621,0.78,0.262,0.776
0,0.71,0.13,0.17,0.776,0.754,0.514,0.119,0.047,0.183,0.401103448,0.84,0.4,0.817
0,0.86,0.16,0.17,0.817,0.766,0.555,0.067,0.006,0.131,0.272068966,0.71,0.275,0.841
0,1,0.19,0.17,0.841,0.744,0.565,0.128,-0.014,0.292,0.173310345,0.02,0.275,0.809
0,0.14,0.23,0.17,0.809,0.717,0.535,0.211,0.083,0.372,0.163517241,0.4,0.538,0.781
0,0.29,0.26,0.17,0.781,0.747,0.54,0.272,0.15,0.433,0.210241379,0.41,0.45,0.812
0,0.43,0.29,0.17,0.812,0.727,0.527,0.386,0.267,0.539,0.27262069,0.43,0.388,0.779
0,0.57,0.32,0.17,0.779,0.74,0.514,0.267,0.161,0.433,0.381310345,0.88,0.625,0.795
0,0.71,0.36,0.17,0.795,0.746,0.531,0.2,0.081,0.35,0.360172414,0.39,0.275,0.801
0,0.86,0.39,0.17,0.801,0.734,0.535,0.225,0.125,0.358,0.305689655,0.48,0.475,0.794
0,1,0.42,0.17,0.794,0.718,0.536,0.222,0.133,0.372,0.292758621,0.7,0.525,0.791
0,0.14,0.45,0.17,0.791,0.649,0.508,0.369,0.15,0.553,0.283310345,0.64,0.425,0.717
1,0.29,0.48,0.17,0.717,0.642,0.458,0.419,0.297,0.589,0.37062069,0.7,0.438,0.687
1,0.43,0.52,0.17,0.687,0.703,0.449,0.253,0.214,0.281,0.448724138,1,0.25,0.727
0,0.57,0.55,0.17,0.727,0.709,0.478,0.297,0.217,0.411,0.382310345,0.84,0.762,0.75
0,0.71,0.58,0.17,0.75,0.726,0.493,0.236,0.197,0.292,0.377068966,0.97,0.85,0.784
0,0.86,0.61,0.17,0.784,0.721,0.526,0.206,0.175,0.3,0.33537931,0.95,0.45,0.791
